Berat_Cabai,Kadar_Air,Label,File_Cabai
1.74,12.07,Kering,0
2.2,5.91,Kering,0
1.67,7.19,Kering,0
1.91,5.24,Kering,0
0.52,1.76,Kering,0
1.63,11.66,Kering,0
2.01,5.47,Kering,0
1.44,0.0,Kering,0
3.4,9.41,Kering,0
2.47,6.07,Kering,0
1.18,0.0,Kering,0
1.47,0.0,Kering,0
1.22,9.84,Kering,0
1.63,11.66,Kering,0
2.74,0.0,Kering,0
2.15,10.7,Kering,0
2.47,6.07,Kering,0
0.52,1.76,Kering,0
0.68,0.0,Kering,0
2.37,10.13,Kering,0
1.58,10.76,Kering,0
2.74,0.0,Kering,0
2.09,11.0,Kering,0
2.15,10.7,Kering,0
2.92,6.16,Kering,0
1.81,10.5,Kering,0
1.74,12.07,Kering,0
1.59,5.03,Kering,0
1.22,9.84,Kering,0
2.04,11.27,Kering,0
1.75,4.57,Kering,0
2.04,11.27,Kering,0
1.22,9.84,Kering,0
1.61,5.59,Kering,0
1.83,10.93,Kering,0
1.81,10.5,Kering,0
1.85,9.73,Kering,0
1.84,12.5,Kering,0
1.59,5.03,Kering,0
2.47,6.07,Kering,0
2.74,0.0,Kering,0
2.74,0.0,Kering,0
2.74,0.0,Kering,0
1.81,10.5,Kering,0
1.84,12.5,Kering,0
2.37,10.13,Kering,0
2.2,5.91,Kering,0
1.61,5.59,Kering,0
1.22,9.84,Kering,0
1.7,15.29,Kering,0
